PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-14 05:37:58.288,119.0,-1801.03,2837.596,0.1,143.0,247556.0,-1.0,192000,0.0,50.5766,20.2594,1.3888,36.9605,20.0787,235.7902,20.2621,22.9004,1524.391,55.0,0.0363,69.0,1.6362,97.0,0.000143914,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:37:59.508,,,,,,247555.5,-1.0,192000,0.0,50.5757,20.2605,1.3453,36.9589,20.0787,234.0862,20.2625,22.965,1524.3915,55.0,0.0363,69.0,1.6362,102.0,0.000159224,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:00.509,,,,,,247555.5,-1.0,192000,0.0,50.5762,20.2612,1.332,36.9586,20.0729,235.122,20.2631,22.9255,1524.3929,57.0,0.0605,69.0,1.6362,111.0,0.000186782,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:01.508,,,,,,247555.5,-1.0,192000,0.0,50.5778,20.2613,1.3447,36.9599,20.0748,235.301,20.2633,22.9186,1524.3948,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:02.509,,,,,,247555.5,-1.0,192000,0.0,50.5777,20.2616,1.3403,36.9596,20.0748,235.0301,20.2633,22.9289,1524.3952,55.0,0.0363,70.0,1.7271,95.0,0.00013779,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:03.508,,,,,,247555.51,-1.0,192000,0.0,50.5771,20.2614,1.3518,36.9592,20.0767,236.2447,20.2624,22.8833,1524.3944,55.0,0.0363,69.0,1.6362,94.0,0.000134728,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:04.509,,,,,,247555.51,-1.0,192000,0.0,50.5755,20.2608,1.3535,36.9584,20.0767,233.9777,20.2622,22.9692,1524.3919,56.0,0.0484,71.0,1.818,98.0,0.000146976,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:05.508,,,,,,247555.51,-1.0,192000,0.0,50.575,20.2606,1.3334,36.9582,20.0748,234.5551,20.2613,22.9476,1524.3908,54.0,0.0242,70.0,1.7271,96.0,0.000140852,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:06.508,,,,,,247555.51,-1.0,192000,0.0,50.5759,20.2605,1.4013,36.959,20.0767,235.342,20.2605,22.9179,1524.3926,54.0,0.0242,68.0,1.5453,95.0,0.00013779,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:07.509,,,,,,247555.51,-1.0,192000,0.0,50.5759,20.2601,1.3843,36.9593,20.0748,234.6669,20.2601,22.9436,1524.3915,55.0,0.0363,69.0,1.6362,96.0,0.000140852,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:08.508,,,,,,247555.51,-1.0,192000,0.0,50.5757,20.2597,1.3828,36.9596,20.0748,234.1816,20.2606,22.9619,1524.3907,54.0,0.0242,69.0,1.6362,99.0,0.000150038,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:09.508,,,,,,247555.51,-1.0,192000,0.0,50.5757,20.2604,1.405,36.9589,20.0787,235.3108,20.261,22.919,1524.3922,54.0,0.0242,70.0,1.7271,95.0,0.00013779,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:10.508,,,,,,247555.51,-1.0,192000,0.0,50.5757,20.2608,1.3914,36.9586,20.0787,235.0447,20.2619,22.9288,1524.3928,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:11.508,,,,,,247555.51,-1.0,192000,0.0,50.5758,20.2603,1.4421,36.9591,20.0806,236.18,20.2626,22.8857,1524.3928,55.0,0.0363,69.0,1.6362,114.0,0.000195968,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:12.506,,,,,,247555.51,-1.0,192000,0.0,50.5746,20.2596,1.4271,36.9587,20.0806,234.6504,20.2629,22.9435,1524.3902,55.0,0.0363,70.0,1.7271,103.0,0.000162286,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:13.508,,,,,,247555.51,-1.0,192000,0.0,50.5751,20.2599,1.4501,36.9588,20.0729,236.6839,20.2624,22.8668,1524.3915,56.0,0.0484,70.0,1.7271,95.0,0.00013779,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:14.509,,,,,,247555.51,-1.0,192000,0.0,50.5737,20.2599,1.4481,36.9577,20.0806,235.0966,20.2626,22.9267,1524.3902,54.0,0.0242,69.0,1.6362,95.0,0.00013779,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:15.509,,,,,,247555.51,-1.0,192000,0.0,50.5751,20.2604,1.4812,36.9584,20.0806,234.8651,20.2626,22.9354,1524.3929,55.0,0.0363,68.0,1.5453,100.0,0.0001531,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:16.509,,,,,,247555.51,-1.0,192000,0.0,50.5747,20.2592,1.4728,36.9592,20.0825,232.8663,20.2628,23.0115,1524.3904,55.0,0.0363,68.0,1.5453,98.0,0.000146976,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:17.509,,,,,,247555.51,-1.0,192000,0.0,50.5731,20.258,1.4662,36.9588,20.0806,234.3341,20.2619,22.9558,1524.3866,54.0,0.0242,69.0,1.6362,96.0,0.000140852,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:18.508,,,,,,247555.51,-1.0,192000,0.0,50.5738,20.2576,1.4483,36.9598,20.0806,234.2206,20.2606,22.9604,1524.3863,55.0,0.0363,69.0,1.6362,99.0,0.000150038,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
2025-02-14 05:38:19.508,,,,,,247555.51,-1.0,192000,0.0,50.5746,20.2585,1.4278,36.9596,20.0806,234.3294,20.2593,22.9566,1524.3882,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.27,27
