PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-20 15:15:16.044,119.0,-1758.814,2835.307,-0.2,283.0,248050.71,248050.71,192000,,50.992,20.6205,1.5028,36.9848,20.1116,238.3277,20.589,22.7114,1525.4015,55.0,0.0363,72.0,1.9089,103.0,0.000162286,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:17.053,,,,,,248050.79,248050.79,192000,,50.9913,20.6219,1.557,36.983,20.1116,236.8566,20.5904,22.766,1525.4042,58.0,0.0726,70.0,1.7271,109.0,0.000180658,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:18.054,,,,,,248048.37,248048.37,192000,0.0,50.9917,20.6224,1.58,36.9828,20.1155,238.1001,20.5856,22.721,1525.4057,53.0,0.0121,66.0,1.3635,105.0,0.00016841,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:19.055,,,,,,248048.38,-1.0,192000,,50.9926,20.6212,1.5853,36.9847,20.1116,238.0738,20.5832,22.7226,1525.4047,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:20.058,,,,,,248048.38,-1.0,192000,,50.996,20.6174,1.654,36.9908,20.1155,237.7642,20.5862,22.7329,1525.4023,57.0,0.0605,73.0,1.9998,101.0,0.000156162,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:21.056,,,,,,248048.38,-1.0,192000,,50.9992,20.6194,1.6355,36.9916,20.1174,238.0637,20.5876,22.7213,1525.4083,52.0,0.0,73.0,1.9998,106.0,0.000171472,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:22.057,,,,,,248048.38,-1.0,192000,,50.986,20.6218,1.6579,36.9788,20.1174,237.178,20.59,22.7544,1525.4009,56.0,0.0484,70.0,1.7271,104.0,0.000165348,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:23.056,,,,,,248048.38,-1.0,192000,,50.9942,20.6071,1.6353,36.9983,20.1213,237.0821,20.5906,22.7566,1525.3825,54.0,0.0242,74.0,2.0907,103.0,0.000162286,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:24.056,,,,,,248048.38,-1.0,192000,,50.9883,20.6131,1.6203,36.9882,20.1252,237.7573,20.5861,22.7333,1525.3872,58.0,0.0726,68.0,1.5453,108.0,0.000177596,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
2025-02-20 15:15:25.056,,,,,,248048.38,-1.0,192000,,50.9849,20.6116,1.6187,36.9868,20.1213,239.0479,20.5881,22.6847,1525.3816,56.0,0.0484,69.0,1.6362,111.0,0.000186782,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.92,92
