PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-16 15:45:58.533,119.0,-1801.792,2838.757,-0.3,265.0,247695.79,-1.0,192000,0.0,51.3156,20.8756,1.5138,37.0258,20.3302,235.2921,20.8546,22.7478,1526.1349,53.0,0.0121,71.0,1.818,99.0,0.000150038,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:45:59.765,,,,,,247695.79,-1.0,192000,0.0,51.32,20.8773,1.4831,37.0279,20.3341,236.2293,20.8502,22.7137,1526.1413,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:46:00.765,,,,,,247695.79,-1.0,192000,0.0,51.3195,20.8785,1.5026,37.0265,20.336,237.1837,20.8542,22.6769,1526.1432,55.0,0.0363,70.0,1.7271,107.0,0.000174534,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:46:01.765,,,,,,247695.79,-1.0,192000,0.0,51.318,20.8866,1.5025,37.0182,20.338,234.8312,20.8559,22.7654,1526.1558,53.0,0.0121,69.0,1.6362,96.0,0.000140852,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:46:02.764,,,,,,247695.79,-1.0,192000,0.0,51.3181,20.8879,1.528,37.0172,20.3399,234.7026,20.8605,22.7689,1526.1586,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:46:03.766,,,,,,247695.79,-1.0,192000,0.0,51.3217,20.8855,1.5515,37.0222,20.3438,236.4157,20.8638,22.7032,1526.1581,52.0,0.0,70.0,1.7271,97.0,0.000143914,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:46:04.765,,,,,,247695.79,-1.0,192000,0.0,51.3252,20.8883,1.535,37.0226,20.3438,235.2211,20.859,22.7495,1526.1658,45.0,-0.0847,67.0,1.4544,89.0,0.000119418,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:46:05.764,,,,,,247695.79,-1.0,192000,0.0,51.3297,20.8902,1.5334,37.0245,20.3477,235.9395,20.8693,22.7193,1526.1729,57.0,0.0605,69.0,1.6362,98.0,0.000146976,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:46:06.765,,,,,,247695.79,-1.0,192000,0.0,51.3271,20.8919,1.5463,37.021,20.3438,236.6757,20.8743,22.6905,1526.1738,52.0,0.0,69.0,1.6362,97.0,0.000143914,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
2025-02-16 15:46:07.763,,,,,,247695.79,-1.0,192000,0.0,51.3342,20.8812,1.5663,37.036,20.3515,237.1474,20.8747,22.6718,1526.1621,52.0,0.0,70.0,1.7271,97.0,0.000143914,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.52,52
