PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-24 13:15:53.185,119.0,-1757.316,2833.582,0.0,164.0,248414.64,248414.64,192000,,50.6938,20.4117,1.4161,36.9233,19.9001,241.5261,20.3952,22.651,1524.7651,54.0,0.0242,68.0,1.5453,106.0,0.000171472,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:15:54.470,,,,,,248412.43,-1.0,192000,,,,,,,,,,,53.0,0.0121,63.0,1.0908,115.0,0.00019903,,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:15:55.470,,,,,,248412.43,-1.0,192000,,50.7011,20.4104,1.2564,36.9305,19.904,241.5593,20.4021,22.6474,1524.7669,61.0,0.1089,70.0,1.7271,94.0,0.000134728,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:15:56.469,,,,,,248412.43,-1.0,192000,,50.7002,20.412,1.205,36.9284,19.9079,242.2109,20.4047,22.6228,1524.7681,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:15:57.469,,,,,,248412.43,-1.0,192000,,50.705,20.414,1.2622,36.9306,19.904,240.7775,20.4018,22.6762,1524.7769,41.0,-0.1331,69.0,1.6362,109.0,0.000180658,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:15:58.469,,,,,,,248412.43,192000,,50.6967,20.4087,1.286,36.9284,19.9098,242.0925,20.404,22.6273,1524.7604,50.0,-0.0242,72.0,1.9089,107.0,0.000174534,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:15:59.470,,,,,,248412.43,248412.43,192000,,50.6802,20.3976,1.3821,36.9245,19.9098,241.8788,20.3963,22.6375,1524.7275,59.0,0.0847,60.0,0.8181,136.0,0.000263332,,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:16:00.471,,,,,,248412.43,248412.43,192000,,50.6754,20.3855,1.4462,36.9311,19.9118,242.2237,20.3858,22.6276,1524.703,57.0,0.0605,73.0,1.9998,108.0,0.000177596,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:16:01.468,,,,,,248412.43,248412.43,192000,,50.6653,20.3799,1.529,36.9278,19.9137,240.875,20.3849,22.6774,1524.6854,51.0,-0.0121,67.0,1.4544,101.0,0.000156162,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:16:02.469,,,,,,248412.43,248412.43,192000,,50.6695,20.3778,1.5851,36.9331,19.9118,241.6568,20.3812,22.6495,1524.6866,57.0,0.0605,74.0,2.0907,100.0,0.0001531,,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:16:03.467,,,,,,248412.43,248412.44,192000,0.0,50.6683,20.378,1.6311,36.9318,19.9137,241.2701,20.3844,22.6628,1524.6864,34.0,-0.2178,76.0,2.2725,91.0,0.000125542,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:16:04.468,,,,,,248412.44,248412.45,192000,,50.6633,20.3779,1.7439,36.9278,19.9176,241.4054,20.3869,22.6573,1524.6836,52.0,0.0,60.0,0.8181,104.0,0.000165348,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:16:05.470,,,,,,248412.45,248412.45,192000,,50.6724,20.3776,1.7711,36.9355,19.9156,242.1316,20.3871,22.6303,1524.6918,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:16:06.471,,,,,,248412.45,248412.45,192000,,50.6691,20.383,1.7486,36.9281,19.9195,241.9809,20.3913,22.635,1524.6979,61.0,0.1089,78.0,2.4543,118.0,0.000208216,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
2025-02-24 13:16:07.471,,,,,,248412.45,-1.0,192000,,50.6673,20.3837,1.7882,36.926,19.9215,242.6143,20.3904,22.6122,1524.6981,55.0,0.0363,65.0,1.2726,109.0,0.000180658,,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.114,114
