PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-12 17:45:14.934,119.0,-1758.857,2835.278,-0.2,242.0,62886.12,62886.12,192000.0,0.0,51.0976,20.6871,1.4864,37.0129,20.251,230.2849,20.7052,22.9815,1525.6125,54.0,0.0242,64.0,1.1817,102.0,0.000159224,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:15.939,,,,,,62886.12,-1.0,192000.0,0.0,51.0968,20.689,1.4987,37.0105,20.2549,232.1224,20.7027,22.9116,1525.6152,51.0,-0.0121,71.0,1.818,100.0,0.0001531,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:16.938,,,,,,62886.12,-1.0,192000.0,0.0,51.1019,20.6848,1.4617,37.0183,20.2568,231.8679,20.7038,22.9206,1525.6119,56.0,0.0484,68.0,1.5453,100.0,0.0001531,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:17.940,,,,,,,62886.12,192000.0,0.0,51.0978,20.6992,1.4441,37.0024,20.2549,232.4268,20.7272,22.8932,1525.6328,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:18.939,,,,,,62886.12,62886.12,192000.0,0.0,51.1158,20.7036,1.4426,37.0132,20.2568,231.7829,20.7236,22.9184,1525.6566,52.0,0.0,69.0,1.6362,94.0,0.000134728,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:19.940,,,,,,62886.12,62886.12,192000.0,0.0,51.1111,20.7094,1.3996,37.0044,20.2587,233.0673,20.7319,22.8673,1525.6618,54.0,0.0242,70.0,1.7271,99.0,0.000150038,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:20.940,,,,,,62886.12,62886.12,192000.0,0.0,51.1105,20.7006,1.382,37.0116,20.2607,230.7438,20.728,22.9572,1525.6458,55.0,0.0363,70.0,1.7271,100.0,0.0001531,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:21.939,,,,,,62886.12,62886.12,192000.0,0.0,51.1065,20.6929,1.4041,37.015,20.2607,231.2328,20.7089,22.9437,1525.6291,55.0,0.0363,70.0,1.7271,98.0,0.000146976,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:22.939,,,,,,62886.12,62886.12,192000.0,0.0,51.1189,20.69,1.3825,37.0276,20.2607,232.3791,20.6981,22.9022,1525.635,52.0,0.0,70.0,1.7271,123.0,0.000223526,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:23.941,,,,,,62886.12,62886.12,192000.0,0.0,51.1435,20.7037,1.3962,37.0358,20.2645,232.0598,20.6848,22.9182,1525.6813,55.0,0.0363,70.0,1.7271,103.0,0.000162286,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:24.939,,,,,,62886.12,62886.12,192000.0,0.0,51.1556,20.7173,1.39,37.0337,20.2645,231.6588,20.6924,22.9316,1525.7156,55.0,0.0363,70.0,1.7271,96.0,0.000140852,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:25.939,,,,,,62886.12,62886.12,192000.0,0.0,51.1472,20.7127,1.3995,37.0309,20.2645,231.7777,20.6922,22.9272,1525.7002,55.0,0.0363,67.0,1.4544,100.0,0.0001531,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:26.939,,,,,,62886.12,62886.12,192000.0,0.0,51.1338,20.7023,1.4089,37.0291,20.2665,230.7025,20.6892,22.9695,1525.6703,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:27.939,,,,,,62886.12,62886.12,192000.0,0.0,51.1529,20.6968,1.4051,37.0494,20.2665,232.52,20.6879,22.8988,1525.678,52.0,0.0,67.0,1.4544,94.0,0.000134728,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:28.939,,,,,,62886.12,62886.12,192000.0,0.0,51.1385,20.7145,1.3963,37.0223,20.2684,232.5867,20.6885,22.8978,1525.6954,53.0,0.0121,69.0,1.6362,98.0,0.000146976,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:29.939,,,,,,62886.13,62886.13,192000.0,0.0,51.1327,20.7162,1.4291,37.0161,20.2703,231.8464,20.6911,22.9257,1525.6936,50.0,-0.0242,68.0,1.5453,100.0,0.0001531,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:30.939,,,,,,62886.13,62886.13,192000.0,0.0,51.1454,20.7179,1.4264,37.0249,20.2703,231.9032,20.6859,22.9247,1525.708,53.0,0.0121,71.0,1.818,101.0,0.000156162,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
2025-02-12 17:45:31.938,,,,,,62886.13,62886.13,192000.0,0.0,51.1341,20.7093,1.4243,37.0232,20.2684,232.0098,20.6946,22.9179,1525.6829,57.0,0.0605,69.0,1.6362,102.0,0.000159224,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.8,8
