PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-28 05:13:03.249,119.0,-1802.398,2838.471,0.1,7.0,248755.55,248755.55,192000,,50.0418,19.8318,1.435,36.8947,19.258,243.5218,19.8428,22.7372,1523.1433,75.0,0.2783,70.0,1.7271,131.0,0.000248022,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:04.461,,,,,,248753.25,-1.0,192000,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:05.462,,,,,,248753.25,-1.0,192000,,50.0383,19.8305,1.3796,36.8931,19.2599,242.5207,19.8419,22.7742,1523.137,72.0,0.242,71.0,1.818,128.0,0.000238836,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:06.462,,,,,,248753.27,-1.0,192000,0.0,50.042,19.8292,1.4731,36.8972,19.258,244.1469,19.8402,22.715,1523.1395,72.0,0.242,70.0,1.7271,128.0,0.000238836,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:07.464,,,,,,248753.27,-1.0,192000,,50.0411,19.8292,1.4393,36.8965,19.2599,243.7624,19.8394,22.7293,1523.1382,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:08.464,,,,,,248753.27,-1.0,192000,,50.0419,19.8293,1.426,36.8971,19.258,242.9787,19.8392,22.758,1523.1389,73.0,0.2541,71.0,1.818,126.0,0.000232712,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:09.462,,,,,,248753.27,-1.0,192000,,50.0425,19.8287,1.3744,36.8981,19.2619,242.8875,19.8387,22.7614,1523.1375,73.0,0.2541,71.0,1.818,129.0,0.000241898,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:10.462,,,,,,248753.27,-1.0,192000,,50.04,19.8282,1.4198,36.8965,19.2638,244.2821,19.838,22.7108,1523.1351,73.0,0.2541,71.0,1.818,128.0,0.000238836,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:11.464,,,,,,,248753.27,192000,,50.0421,19.8278,1.3987,36.8986,19.2619,243.448,19.8376,22.7412,1523.136,75.0,0.2783,70.0,1.7271,128.0,0.000238836,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
2025-02-28 05:13:12.463,,,,,,248753.27,248753.27,192000,,50.0423,19.8284,1.369,36.8982,19.2678,243.4129,19.837,22.7427,1523.1367,72.0,0.242,70.0,1.7271,133.0,0.000254146,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.136,136
