TIMESTAMP;BALLAST;ANGULAR;LINEAR;
01/01/1970 00:01:37.416;0;1;1;
01/01/1970 00:01:37.417;1;1;1;
01/01/1970 00:01:47.369;1;0;0;
01/01/1970 00:02:34.297;0;0;0;
12/02/2025 11:20:30.612;1;0;0;
12/02/2025 11:21:08.453;1;0;1;
12/02/2025 11:21:18.92;1;0;0;
12/02/2025 11:21:37.972;0;0;0;
12/02/2025 11:22:20.838;0;0;1;
12/02/2025 11:22:22.126;0;0;0;
12/02/2025 11:23:00.857;0;0;1;
12/02/2025 11:23:02.277;0;0;0;
12/02/2025 11:23:19.866;1;0;0;
12/02/2025 11:23:19.866;1;1;1;
12/02/2025 11:23:23.558;1;0;0;
12/02/2025 11:23:27.569;1;1;1;
12/02/2025 11:23:28.703;1;0;0;
12/02/2025 11:23:37.563;1;1;1;
12/02/2025 11:23:38.954;1;0;0;
12/02/2025 11:23:47.564;1;1;1;
12/02/2025 11:23:48.724;1;0;0;
12/02/2025 11:23:57.564;1;1;1;
12/02/2025 11:23:58.694;1;0;0;
12/02/2025 11:24:07.564;1;1;1;
12/02/2025 11:24:08.704;1;0;0;
12/02/2025 11:24:17.564;1;1;1;
12/02/2025 11:24:18.694;1;0;0;
12/02/2025 11:24:27.564;1;1;1;
12/02/2025 11:24:28.704;1;0;0;
12/02/2025 11:24:37.664;1;1;1;
12/02/2025 11:24:38.824;1;0;0;
12/02/2025 11:24:47.664;1;1;1;
12/02/2025 11:24:48.804;1;0;0;
12/02/2025 11:25:01.97;0;0;0;
12/02/2025 11:25:40.822;0;0;1;
12/02/2025 11:25:42.879;0;0;0;
12/02/2025 11:25:59.797;0;0;1;
12/02/2025 11:26:01.668;0;0;0;
12/02/2025 11:26:19.807;0;0;1;
12/02/2025 11:26:21.368;0;0;0;
12/02/2025 11:26:39.817;0;0;1;
12/02/2025 11:26:41.568;0;0;0;
12/02/2025 11:26:59.828;0;0;1;
12/02/2025 11:27:01.98;0;0;0;
12/02/2025 11:27:19.838;0;0;1;
12/02/2025 11:27:21.288;0;0;0;
12/02/2025 11:27:39.848;0;0;1;
12/02/2025 11:27:41.268;0;0;0;
12/02/2025 11:27:59.858;0;0;1;
12/02/2025 11:28:01.218;0;0;0;
12/02/2025 11:28:07.866;0;0;1;
12/02/2025 11:28:20.628;0;0;0;
12/02/2025 11:40:10.965;1;0;0;
12/02/2025 11:40:48.928;1;0;1;
12/02/2025 11:40:58.702;1;0;0;
12/02/2025 11:41:17.531;0;0;0;
12/02/2025 11:42:01.258;0;0;1;
12/02/2025 11:42:02.737;0;0;0;
12/02/2025 11:42:13.268;1;0;0;
12/02/2025 11:42:13.269;1;1;1;
12/02/2025 11:42:16.270;1;0;0;
12/02/2025 11:42:20.972;1;1;1;
12/02/2025 11:42:22.116;1;0;0;
12/02/2025 11:42:30.966;1;1;1;
12/02/2025 11:42:32.116;1;0;0;
12/02/2025 11:42:40.966;1;1;1;
12/02/2025 11:42:42.116;1;0;0;
12/02/2025 11:42:50.966;1;1;1;
12/02/2025 11:42:52.116;1;0;0;
12/02/2025 11:43:00.967;1;1;1;
12/02/2025 11:43:02.116;1;0;0;
12/02/2025 11:43:11.67;1;1;1;
12/02/2025 11:43:12.217;1;0;0;
12/02/2025 11:43:21.67;1;1;1;
12/02/2025 11:43:22.217;1;0;0;
12/02/2025 11:43:31.67;1;1;1;
12/02/2025 11:43:32.217;1;0;0;
12/02/2025 11:43:41.67;1;1;1;
12/02/2025 11:43:42.217;1;0;0;
12/02/2025 11:43:53.428;0;0;0;
12/02/2025 11:44:33.206;0;1;1;
12/02/2025 11:44:38.113;0;0;0;
12/02/2025 11:44:53.220;0;0;1;
12/02/2025 11:44:55.291;0;0;0;
12/02/2025 11:45:13.220;0;1;1;
12/02/2025 11:45:14.860;0;0;0;
12/02/2025 11:45:33.220;0;1;1;
12/02/2025 11:45:35.351;0;0;0;
12/02/2025 11:45:53.231;0;1;0;
12/02/2025 11:45:55.682;0;0;0;
12/02/2025 11:46:13.241;0;1;1;
12/02/2025 11:46:15.161;0;0;0;
12/02/2025 11:46:33.251;0;1;1;
12/02/2025 11:46:34.621;0;0;0;
12/02/2025 11:46:53.309;0;1;1;
12/02/2025 11:46:55.612;0;0;0;
12/02/2025 11:47:13.550;0;0;1;
12/02/2025 11:47:14.901;0;0;0;
12/02/2025 11:47:16.174;0;1;1;
12/02/2025 11:47:28.675;0;0;0;
12/02/2025 11:59:02.269;1;0;0;
12/02/2025 11:59:40.62;1;0;1;
12/02/2025 11:59:49.621;1;0;0;
12/02/2025 11:59:53.935;0;0;0;
12/02/2025 12:02:52.769;0;1;0;
12/02/2025 12:02:54.207;0;0;0;
12/02/2025 12:03:12.507;0;1;0;
12/02/2025 12:03:13.737;0;0;0;
12/02/2025 12:03:52.538;0;1;1;
12/02/2025 12:03:53.827;0;0;0;
12/02/2025 12:04:12.548;0;1;0;
12/02/2025 12:04:13.927;0;0;0;
12/02/2025 12:04:32.568;0;1;0;
12/02/2025 12:04:34.118;0;0;0;
12/02/2025 12:04:52.588;0;1;0;
12/02/2025 12:04:53.938;0;0;0;
12/02/2025 12:05:32.731;0;1;0;
12/02/2025 12:05:34.18;0;0;0;
12/02/2025 12:05:37.593;1;0;0;
12/02/2025 12:05:37.594;1;1;1;
12/02/2025 12:05:41.55;1;0;0;
12/02/2025 12:05:45.297;1;1;1;
12/02/2025 12:05:46.431;1;0;0;
12/02/2025 12:05:55.291;1;1;1;
12/02/2025 12:05:56.421;1;0;0;
12/02/2025 12:06:05.291;1;1;1;
12/02/2025 12:06:06.431;1;0;0;
12/02/2025 12:06:15.291;1;1;1;
12/02/2025 12:06:16.421;1;0;0;
12/02/2025 12:06:25.921;0;0;0;
12/02/2025 12:07:07.456;0;1;1;
12/02/2025 12:07:10.856;0;0;0;
12/02/2025 12:07:27.484;0;1;1;
12/02/2025 12:07:28.824;0;0;0;
12/02/2025 12:07:47.474;0;1;1;
12/02/2025 12:07:49.975;0;0;0;
12/02/2025 12:08:07.485;0;1;0;
12/02/2025 12:08:09.165;0;0;0;
12/02/2025 12:08:27.495;0;1;0;
12/02/2025 12:08:28.855;0;0;0;
12/02/2025 12:08:47.505;0;1;0;
12/02/2025 12:08:48.805;0;0;0;
12/02/2025 12:09:07.516;0;1;0;
12/02/2025 12:09:09.235;0;0;0;
12/02/2025 12:09:27.526;0;1;1;
12/02/2025 12:09:29.216;0;0;0;
12/02/2025 12:09:47.804;0;1;1;
12/02/2025 12:09:49.906;0;0;0;
12/02/2025 12:10:07.546;0;1;0;
12/02/2025 12:10:09.26;0;0;0;
12/02/2025 12:10:27.586;0;1;1;
12/02/2025 12:10:28.886;0;0;0;
12/02/2025 12:11:27.587;0;1;0;
12/02/2025 12:11:28.906;0;0;0;
12/02/2025 12:11:47.597;0;1;0;
12/02/2025 12:11:48.917;0;0;0;
12/02/2025 12:13:07.648;0;1;0;
12/02/2025 12:13:08.867;0;0;0;
12/02/2025 12:14:07.668;0;1;0;
12/02/2025 12:14:08.968;0;0;0;
12/02/2025 12:15:07.699;0;1;0;
12/02/2025 12:15:09.19;0;0;0;
12/02/2025 12:15:27.918;0;1;0;
12/02/2025 12:15:29.239;0;0;0;
12/02/2025 12:15:47.720;0;1;0;
12/02/2025 12:15:48.949;0;0;0;
12/02/2025 12:16:07.730;0;1;0;
12/02/2025 12:16:08.919;0;0;0;
12/02/2025 12:17:27.801;0;1;0;
12/02/2025 12:17:29.330;0;0;0;
12/02/2025 12:17:47.847;0;1;0;
12/02/2025 12:17:49.250;0;0;0;
12/02/2025 12:17:59.782;1;0;0;
12/02/2025 12:17:59.783;1;1;1;
12/02/2025 12:18:05.467;1;0;0;
12/02/2025 12:18:28.440;0;0;0;
12/02/2025 12:19:09.835;0;1;1;
12/02/2025 12:19:13.235;0;0;0;
12/02/2025 12:19:30.44;0;1;1;
12/02/2025 12:19:32.94;0;0;0;
12/02/2025 12:19:50.54;0;1;0;
12/02/2025 12:19:52.104;0;0;0;
12/02/2025 12:20:10.64;0;1;0;
12/02/2025 12:20:11.484;0;0;0;
12/02/2025 12:20:30.74;0;1;0;
12/02/2025 12:20:31.434;0;0;0;
12/02/2025 12:21:50.115;0;1;0;
12/02/2025 12:21:51.355;0;0;0;
12/02/2025 12:22:30.136;0;1;0;
12/02/2025 12:22:31.886;0;0;0;
12/02/2025 12:22:50.146;0;1;0;
12/02/2025 12:22:51.445;0;0;0;
12/02/2025 12:23:30.166;0;1;1;
12/02/2025 12:23:31.496;0;0;0;
12/02/2025 12:23:44.180;1;0;0;
12/02/2025 12:23:44.181;1;1;1;
12/02/2025 12:23:49.834;1;0;0;
12/02/2025 12:23:51.972;1;1;1;
12/02/2025 12:23:53.128;1;0;0;
12/02/2025 12:24:02.97;1;1;1;
12/02/2025 12:24:03.228;1;0;0;
12/02/2025 12:24:11.878;1;1;1;
12/02/2025 12:24:13.318;1;0;0;
12/02/2025 12:24:21.878;1;1;1;
12/02/2025 12:24:23.8;1;0;0;
12/02/2025 12:24:33.519;0;0;0;
12/02/2025 12:25:14.22;0;1;0;
12/02/2025 12:25:15.401;0;0;0;
12/02/2025 12:25:34.21;0;1;0;
12/02/2025 12:25:35.491;0;0;0;
12/02/2025 12:25:54.31;0;1;0;
12/02/2025 12:25:55.471;0;0;0;
12/02/2025 12:26:14.42;0;1;0;
12/02/2025 12:26:16.533;0;0;0;
12/02/2025 12:26:34.52;0;1;1;
12/02/2025 12:26:36.273;0;0;0;
12/02/2025 12:26:54.188;0;0;1;
12/02/2025 12:26:55.472;0;0;0;
12/02/2025 12:27:14.77;0;1;1;
12/02/2025 12:27:15.512;0;0;0;
12/02/2025 12:27:34.83;0;1;0;
12/02/2025 12:27:35.312;0;0;0;
12/02/2025 12:27:54.103;0;1;0;
12/02/2025 12:27:55.422;0;0;0;
12/02/2025 12:28:14.103;0;1;1;
12/02/2025 12:28:15.453;0;0;0;
12/02/2025 12:28:54.123;0;1;0;
12/02/2025 12:28:55.383;0;0;0;
12/02/2025 12:29:14.144;0;1;0;
12/02/2025 12:29:15.493;0;0;0;
12/02/2025 12:29:54.363;0;1;0;
12/02/2025 12:29:55.604;0;0;0;
12/02/2025 12:30:14.164;0;1;0;
12/02/2025 12:30:15.554;0;0;0;
12/02/2025 12:30:34.175;0;1;0;
12/02/2025 12:30:35.474;0;0;0;
12/02/2025 12:31:14.195;0;1;0;
12/02/2025 12:31:15.605;0;0;0;
12/02/2025 12:31:34.205;0;1;0;
12/02/2025 12:31:35.505;0;0;0;
12/02/2025 12:32:14.236;0;1;0;
12/02/2025 12:32:15.655;0;0;0;
12/02/2025 12:33:14.266;0;1;0;
12/02/2025 12:33:15.566;0;0;0;
12/02/2025 12:33:34.267;0;1;0;
12/02/2025 12:33:35.836;0;0;0;
12/02/2025 12:33:54.277;0;1;1;
12/02/2025 12:33:55.896;0;0;0;
12/02/2025 12:34:14.287;0;1;0;
12/02/2025 12:34:15.787;0;0;0;
12/02/2025 12:34:34.303;0;1;0;
12/02/2025 12:34:35.747;0;0;0;
12/02/2025 12:34:36.929;1;0;0;
12/02/2025 12:34:36.930;1;1;1;
12/02/2025 12:34:50.1;1;0;0;
12/02/2025 12:35:19.471;0;0;0;
12/02/2025 12:39:53.582;1;0;0;
12/02/2025 12:40:31.353;1;0;1;
12/02/2025 12:40:40.972;1;0;0;
12/02/2025 12:40:45.346;0;0;0;
12/02/2025 12:43:23.708;0;1;1;
12/02/2025 12:43:25.87;0;0;0;
12/02/2025 12:43:43.718;0;1;0;
12/02/2025 12:43:45.67;0;0;0;
12/02/2025 12:44:03.728;0;1;0;
12/02/2025 12:44:05.78;0;0;0;
12/02/2025 12:44:23.738;0;1;0;
12/02/2025 12:44:25.148;0;0;0;
12/02/2025 12:44:43.748;0;1;0;
12/02/2025 12:44:45.68;0;0;0;
12/02/2025 12:45:03.759;0;1;0;
12/02/2025 12:45:05.379;0;0;0;
12/02/2025 12:45:23.769;0;1;0;
12/02/2025 12:45:25.509;0;0;0;
12/02/2025 12:45:43.810;0;1;1;
12/02/2025 12:45:45.519;0;0;0;
12/02/2025 12:46:04.55;0;1;0;
12/02/2025 12:46:05.279;0;0;0;
12/02/2025 12:46:23.799;0;1;0;
12/02/2025 12:46:25.429;0;0;0;
12/02/2025 12:46:43.810;0;1;0;
12/02/2025 12:46:45.99;0;0;0;
12/02/2025 12:47:03.820;0;1;0;
12/02/2025 12:47:05.200;0;0;0;
12/02/2025 12:47:23.850;0;1;0;
12/02/2025 12:47:25.170;0;0;0;
12/02/2025 12:47:43.840;0;1;0;
12/02/2025 12:47:45.230;0;0;0;
12/02/2025 12:48:03.851;0;1;0;
12/02/2025 12:48:05.180;0;0;0;
12/02/2025 12:48:23.861;0;1;0;
12/02/2025 12:48:25.340;0;0;0;
12/02/2025 12:48:43.982;0;1;0;
12/02/2025 12:48:45.431;0;0;0;
12/02/2025 12:49:03.881;0;0;1;
12/02/2025 12:49:05.181;0;0;0;
12/02/2025 12:49:43.902;0;1;0;
12/02/2025 12:49:45.261;0;0;0;
12/02/2025 12:50:03.912;0;1;0;
12/02/2025 12:50:05.391;0;0;0;
12/02/2025 12:50:23.922;0;1;0;
12/02/2025 12:50:25.282;0;0;0;
12/02/2025 12:51:03.942;0;1;0;
12/02/2025 12:51:05.262;0;0;0;
12/02/2025 12:51:23.953;0;1;0;
12/02/2025 12:51:25.292;0;0;0;
12/02/2025 12:51:44.155;0;1;0;
12/02/2025 12:51:45.503;0;0;0;
12/02/2025 12:52:03.973;0;1;0;
12/02/2025 12:52:05.202;0;0;0;
12/02/2025 12:53:04.4;0;1;0;
12/02/2025 12:53:05.473;0;0;0;
12/02/2025 12:53:24.24;0;1;0;
12/02/2025 12:53:25.303;0;0;0;
12/02/2025 12:53:44.54;0;1;0;
12/02/2025 12:53:45.514;0;0;0;
12/02/2025 12:54:44.393;0;1;0;
12/02/2025 12:54:45.825;0;0;0;
12/02/2025 12:55:04.65;0;1;0;
12/02/2025 12:55:05.695;0;0;0;
12/02/2025 12:55:24.75;0;1;0;
12/02/2025 12:55:25.385;0;0;0;
12/02/2025 12:55:44.85;0;1;0;
12/02/2025 12:55:45.305;0;0;0;
12/02/2025 12:56:04.96;0;1;0;
12/02/2025 12:56:05.585;0;0;0;
12/02/2025 12:56:24.106;0;1;0;
12/02/2025 12:56:25.365;0;0;0;
12/02/2025 12:58:04.157;0;1;0;
12/02/2025 12:58:05.557;0;0;0;
12/02/2025 12:58:44.157;0;1;0;
12/02/2025 12:58:45.527;0;0;0;
12/02/2025 12:59:04.168;0;1;0;
12/02/2025 12:59:05.467;0;0;0;
12/02/2025 12:59:44.178;0;1;0;
12/02/2025 12:59:45.558;0;0;0;
12/02/2025 13:00:04.232;0;1;0;
12/02/2025 13:00:05.728;0;0;0;
12/02/2025 13:00:44.209;0;1;0;
12/02/2025 13:00:45.949;0;0;0;
12/02/2025 13:01:04.219;0;1;0;
