PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-03-03 00:35:40.301,119.0,-1759.314,2835.764,-0.1,262.0,248966.48,248966.48,192000,,49.9822,19.8122,1.3285,36.8627,19.352,242.8842,19.8187,22.7692,1523.0514,82.0,0.363,70.0,1.7271,144.0,0.000287828,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:41.305,,,,,,248964.3,248964.3,192000,,49.9808,19.8108,1.3383,36.8627,19.3501,243.7747,19.8143,22.738,1523.0477,88.0,0.4356,70.0,1.7271,146.0,0.000293952,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:42.304,,,,,,248964.3,248964.3,192000,,49.9831,19.8082,1.3509,36.8669,19.354,243.231,19.8128,22.758,1523.0454,82.0,0.363,71.0,1.818,149.0,0.000303138,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:43.304,,,,,,248964.3,248964.3,192000,,49.9809,19.8065,1.354,36.8665,19.354,243.9764,19.8125,22.7309,1523.0403,86.0,0.4114,72.0,1.9089,139.0,0.000272518,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:44.305,,,,,,248964.3,248964.3,192000,,49.9784,19.8078,1.3724,36.8634,19.3559,245.0507,19.8127,22.6919,1523.0408,86.0,0.4114,71.0,1.818,137.0,0.000266394,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:45.303,,,,,,248964.3,248964.3,192000,,49.9789,19.8065,1.3594,36.865,19.3579,242.5161,19.8128,22.7843,1523.0388,88.0,0.4356,71.0,1.818,139.0,0.000272518,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:46.305,,,,,,248964.3,248964.3,192000,,49.9778,19.8083,1.3674,36.8625,19.354,244.4223,19.8132,22.7147,1523.0411,84.0,0.3872,71.0,1.818,145.0,0.00029089,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:47.304,,,,,,248964.3,-1.0,192000,,49.9777,19.8091,1.3555,36.8616,19.3579,243.581,19.814,22.7452,1523.0421,84.0,0.3872,72.0,1.9089,142.0,0.000281704,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:48.306,,,,,,248964.3,-1.0,192000,,49.9808,19.8058,1.3708,36.8671,19.3598,244.9063,19.8149,22.6963,1523.0394,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:49.306,,,,,,248964.3,-1.0,192000,,49.9786,19.805,1.3704,36.866,19.3579,244.0655,19.8144,22.7271,1523.0359,81.0,0.3509,71.0,1.818,142.0,0.000281704,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:50.304,,,,,,248964.3,-1.0,192000,,49.9795,19.8064,1.3822,36.8655,19.3598,243.3213,19.8144,22.7543,1523.0394,82.0,0.363,71.0,1.818,153.0,0.000315386,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
2025-03-03 00:35:51.307,,,,,,248964.3,-1.0,192000,,49.9788,19.8048,1.4078,36.8663,19.3579,244.4386,19.8146,22.7134,1523.0363,79.0,0.3267,72.0,1.9089,143.0,0.000284766,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.152,152
