PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-15 15:34:17.517,119.0,-1757.05,2835.188,-0.0,337.0,,247643.54,192000,0.0,50.8769,20.5406,1.2738,36.9606,20.067,236.6662,20.5472,22.786,1525.1544,41.0,-0.1331,67.0,1.4544,116.0,0.000202092,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:18.752,,,,,,247641.16,-1.0,192000,0.0,,,,,,,,,,70.0,0.2178,69.0,1.6362,38.0,-3.6744e-05,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:19.751,,,,,,247641.16,-1.0,192000,0.0,50.8773,20.5394,1.3009,36.962,20.0651,236.6768,20.5453,22.7861,1525.1531,51.0,-0.0121,72.0,1.9089,91.0,0.000125542,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:20.752,,,,,,247641.16,-1.0,192000,0.0,50.8742,20.539,1.3509,36.9598,20.0709,234.9601,20.5446,22.8511,1525.1504,51.0,-0.0121,70.0,1.7271,97.0,0.000143914,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:21.751,,,,,,247641.16,-1.0,192000,0.0,50.8769,20.5388,1.3557,36.9622,20.0709,237.3925,20.5448,22.7595,1525.1526,53.0,0.0121,68.0,1.5453,99.0,0.000150038,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:22.750,,,,,,247641.16,-1.0,192000,0.0,50.8759,20.5392,1.4198,36.961,20.067,235.8363,20.5442,22.8181,1525.1534,54.0,0.0242,70.0,1.7271,99.0,0.000150038,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:23.749,,,,,,247641.16,-1.0,192000,0.0,50.8786,20.5415,1.4052,36.9612,20.0709,235.6499,20.5431,22.8255,1525.1597,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:24.751,,,,,,,247641.16,192000,0.0,50.8758,20.5397,1.4466,36.9605,20.0729,236.0666,20.5424,22.81,1525.1547,54.0,0.0242,70.0,1.7271,93.0,0.000131666,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:25.751,,,,,,247641.16,247641.16,192000,0.0,50.8756,20.5378,1.5484,36.9619,20.0729,236.7346,20.5413,22.7852,1525.1528,53.0,0.0121,66.0,1.3635,93.0,0.000131666,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
2025-02-15 15:34:26.751,,,,,,247641.16,247641.16,192000,0.0,50.8818,20.5379,1.5494,36.9669,20.0748,236.1151,20.5414,22.8082,1525.1587,53.0,0.0121,69.0,1.6362,90.0,0.00012248,0.0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.39,39
