PLD_REALTIMECLOCK,NAV_RESOURCE,NAV_LONGITUDE,NAV_LATITUDE,NAV_DEPTH,NAV_HEADING,SD_CARD_USAGE,SSD_USAGE,ACQUISITION_FREQ,RECORDING,LEGATO_CONDUCTIVITY,LEGATO_TEMPERATURE,LEGATO_PRESSURE,LEGATO_SALINITY,LEGATO_CONDTEMP,LEGATO_CODA_DO,LEGATO_CODA_TEMPERATURE,LEGATO_CODA_CORR_PHASE,LEGATO_SOUND_VELOCITY,FLBBCD_CHL_COUNT,FLBBCD_CHL_SCALED,FLBBCD_CDOM_COUNT,FLBBCD_CDOM_SCALED,FLBBCD_BB_700_COUNT,FLBBCD_BB_700_SCALED,User_Field1,User_Field2,User_Field3,User_Field4,User_Field5,User_Field6,User_Field7,User_Field8,User_Field9,User_Field10,BS_HEADING,BS_ZB,BS_ZT,BS_PU,BS_PD,BS_BU,BS_BD,BS_SR,BS_ALTIMETER.ENABLE,BS_ALTIMETER.VALUE,BS_CURRENT.CORRECTION.ENABLE,source_file,file_number
2025-02-19 19:15:46.601,119.0,-1759.454,2838.677,0.0,124.0,247970.47,-1.0,192000,,50.764,20.413,1.6313,36.9797,20.1329,240.0306,20.4156,22.6972,1524.8352,59.0,0.0847,70.0,1.7271,112.0,0.000189844,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:47.606,,,,,,247970.47,-1.0,192000,,50.7643,20.413,1.6247,36.9799,20.1329,240.3834,20.4145,22.6845,1524.8353,58.0,0.0726,69.0,1.6362,109.0,0.000180658,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:48.606,,,,,,247970.48,-1.0,192000,,50.7648,20.412,1.6419,36.9812,20.1329,238.4941,20.4153,22.7542,1524.8343,57.0,0.0605,70.0,1.7271,111.0,0.000186782,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:49.607,,,,,,247970.48,-1.0,192000,0.0,50.7667,20.4123,1.624,36.9826,20.1349,238.8515,20.4159,22.7407,1524.8364,57.0,0.0605,70.0,1.7271,112.0,0.000189844,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:50.608,,,,,,247970.48,-1.0,192000,,50.7652,20.4136,1.5558,36.9801,20.1368,239.6205,20.4153,22.7124,1524.836,58.0,0.0726,70.0,1.7271,113.0,0.000192906,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:51.609,,,,,,247970.48,-1.0,192000,,50.7645,20.4136,1.5457,36.9795,20.1368,239.6798,20.4158,22.7101,1524.8352,56.0,0.0484,69.0,1.6362,113.0,0.000192906,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:52.607,,,,,,247970.48,-1.0,192000,,50.7658,20.4134,1.5096,36.9808,20.1368,239.2742,20.4162,22.7249,1524.8355,57.0,0.0605,70.0,1.7271,115.0,0.00019903,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:53.606,,,,,,,247970.48,192000,,50.7672,20.4137,1.4748,36.9818,20.1349,240.2129,20.4166,22.6901,1524.8368,,,,,,,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:54.607,,,,,,247970.48,247970.48,192000,,50.7684,20.4147,1.4108,36.9818,20.1387,239.9356,20.4191,22.6995,1524.8385,56.0,0.0484,71.0,1.818,112.0,0.000189844,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:55.609,,,,,,247970.48,247970.48,192000,,50.77,20.4165,1.3506,36.9816,20.1368,239.5576,20.4185,22.7137,1524.8421,58.0,0.0726,70.0,1.7271,127.0,0.000235774,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:56.608,,,,,,247970.48,-1.0,192000,,50.7678,20.4163,1.3529,36.98,20.1407,238.1153,20.4202,22.7669,1524.8398,57.0,0.0605,69.0,1.6362,108.0,0.000177596,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:57.609,,,,,,247970.48,-1.0,192000,,50.7661,20.416,1.3154,36.9789,20.1387,238.7719,20.4191,22.7429,1524.8372,58.0,0.0726,70.0,1.7271,113.0,0.000192906,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:58.609,,,,,,247970.48,-1.0,192000,,50.7673,20.416,1.3087,36.9799,20.1387,238.7951,20.4227,22.7409,1524.8382,57.0,0.0605,69.0,1.6362,114.0,0.000195968,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:15:59.609,,,,,,247970.48,-1.0,192000,,50.7663,20.4163,1.3255,36.9787,20.1407,241.0425,20.425,22.6571,1524.8379,60.0,0.0968,69.0,1.6362,117.0,0.000205154,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:00.609,,,,,,247970.48,-1.0,192000,,50.7669,20.417,1.349,36.9787,20.1445,239.2757,20.4249,22.7225,1524.8402,59.0,0.0847,69.0,1.6362,108.0,0.000177596,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:01.609,,,,,,247970.48,-1.0,192000,,50.7647,20.4153,1.3596,36.9783,20.1387,241.1555,20.4235,22.6534,1524.8353,57.0,0.0605,70.0,1.7271,114.0,0.000195968,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:02.609,,,,,,247970.48,-1.0,192000,,50.7672,20.414,1.4123,36.9815,20.1445,240.1269,20.4245,22.6908,1524.8363,,,,,,,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:03.609,,,,,,247970.48,-1.0,192000,,50.7673,20.4152,1.38,36.9805,20.1426,239.9665,20.4223,22.6975,1524.8379,55.0,0.0363,70.0,1.7271,114.0,0.000195968,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:04.609,,,,,,247970.48,-1.0,192000,,50.766,20.4159,1.4384,36.9789,20.1445,239.8403,20.4216,22.7025,1524.839,57.0,0.0605,70.0,1.7271,115.0,0.00019903,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:05.606,,,,,,247970.49,-1.0,192000,,50.7648,20.4158,1.4577,36.978,20.1445,238.6389,20.4212,22.7472,1524.838,57.0,0.0605,70.0,1.7271,114.0,0.000195968,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:06.608,,,,,,247970.49,-1.0,192000,0.0,50.7652,20.4159,1.474,36.9782,20.1445,239.04,20.4219,22.7321,1524.8388,59.0,0.0847,70.0,1.7271,120.0,0.00021434,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:07.608,,,,,,247970.5,-1.0,192000,,50.7645,20.4141,1.4492,36.9792,20.1445,239.0766,20.422,22.7307,1524.8346,57.0,0.0605,70.0,1.7271,114.0,0.000195968,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:08.609,,,,,,247970.5,-1.0,192000,,50.7649,20.4145,1.474,36.9792,20.1484,239.7237,20.4215,22.7068,1524.8361,57.0,0.0605,69.0,1.6362,123.0,0.000223526,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
2025-02-19 19:16:09.609,,,,,,247970.5,-1.0,192000,,50.7665,20.4147,1.505,36.9803,20.1465,238.9005,20.4203,22.7377,1524.8384,58.0,0.0726,69.0,1.6362,112.0,0.000189844,0,,,,,,,,,,,,,,,,,,,,,sea074.67.pld1.raw.83,83
